[2021-06-03T22:40:20.201-0800][gc,heap     ] GC(240) Eden regions: 255->0(255)
[2021-06-03T22:40:20.201-0800][gc,heap     ] GC(240) Survivor regions: 1->1(32)
[2021-06-03T22:40:20.201-0800][gc,heap     ] GC(240) Old regions: 48->48
[2021-06-03T22:40:20.201-0800][gc,heap     ] GC(240) Archive regions: 2->2
[2021-06-03T22:40:20.201-0800][gc,heap     ] GC(240) Humongous regions: 164->164
[2021-06-03T22:40:20.201-0800][gc,metaspace] GC(240) Metaspace: 69396K(71344K)->69396K(71344K) NonClass: 61574K(62896K)->61574K(62896K) Class: 7822K(8448K)->7822K(8448K)
[2021-06-03T22:40:20.201-0800][gc          ] GC(240) Pause Young (Normal) (G1 Evacuation Pause) 468M->213M(512M) 1.991ms
[2021-06-03T22:40:20.201-0800][gc,cpu      ] GC(240) User=0.01s Sys=0.00s Real=0.01s
[2021-06-03T22:42:40.272-0800][gc,start    ] GC(241) Pause Young (Normal) (G1 Evacuation Pause)
[2021-06-03T22:42:40.273-0800][gc,task     ] GC(241) Using 10 workers of 10 for evacuation
[2021-06-03T22:42:40.275-0800][gc,phases   ] GC(241)   Pre Evacuate Collection Set: 0.2ms
[2021-06-03T22:42:40.276-0800][gc,phases   ] GC(241)   Merge Heap Roots: 0.1ms
[2021-06-03T22:42:40.276-0800][gc,phases   ] GC(241)   Evacuate Collection Set: 1.8ms
[2021-06-03T22:42:40.276-0800][gc,phases   ] GC(241)   Post Evacuate Collection Set: 0.4ms
[2021-06-03T22:42:40.276-0800][gc,phases   ] GC(241)   Other: 1.2ms
[2021-06-03T22:42:40.276-0800][gc,heap     ] GC(241) Eden regions: 255->0(255)
